Anweisung | p | size | array         | Queue
----------|---|------|---------------|------------
          | 0 | 0    | [0,0,0,0,0,0] |
insert(1) | 0 | 1    | [1,0,0,0,0,0] | 1
insert(2) | 0 | 2    | [1,2,0,0,0,0] | 1-2
insert(3) | 0 | 3    | [1,2,3,0,0,0] | 1-2-3
remove()  | 1 | 2    | [1,2,3,0,0,0] | 2-3
remove()  | 2 | 1    | [1,2,3,0,0,0] | 3
insert(4) | 2 | 2    | [1,2,3,4,0,0] | 3-4
insert(5) | 2 | 3    | [1,2,3,4,5,0] | 3-4-5
remove()  | 3 | 2    | [1,2,3,4,5,0] | 4-5
insert(6) | 3 | 3    | [1,2,3,4,5,6] | 4-5-6
insert(7) | 3 | 4    | [7,2,3,4,5,6] | 4-5-6-7
insert(8) | 3 | 5    | [7,8,3,4,5,6] | 4-5-6-7-8
insert(9) | 3 | 6    | [7,8,9,4,5,6] | 4-5-6-7-8-9
remove()  | 4 | 5    | [7,8,9,4,5,6] | 5-6-7-8-9
